Location,Property_Type,Sqft,BHK,Age,Metro_Dist,Amenities_Score,ROI_Pct,Demand_Index,Price
Malviya Nagar,Apartment/Flat,818,2,6,7.51,8,9.62,82,10360000.0
Ajmer Road,Independent Villa,3919,3,15,1.08,9,9.23,58,25810000.0
Pratap Nagar,Independent Villa,1692,5,18,9.34,6,4.59,85,9960000.0
Vaishali Nagar,Residential Plot,2001,0,7,2.83,3,9.15,69,17760000.0
Mansarovar,Penthouse,3978,5,2,7.15,10,7.49,81,31640000.0
Malviya Nagar,Residential Plot,1891,0,6,9.26,3,8.11,51,16630000.0
Vaishali Nagar,Independent Villa,2975,3,11,8.51,9,5.8,41,25000000.0
C-Scheme,Penthouse,3390,5,14,10.25,10,7.8,88,53270000.0
Tonk Road,Independent Villa,3528,5,16,10.07,5,9.77,73,24160000.0
Sitapura,Builder Floor,1046,2,12,8.49,4,6.75,56,3620000.0
Jagatpura,Independent Villa,4472,4,5,2.91,6,8.86,40,25440000.0
Pratap Nagar,Independent Villa,3545,3,15,9.1,9,7.45,88,16630000.0
Raja Park,Independent Villa,1643,5,6,8.9,5,7.75,76,18330000.0
Bapu Nagar,Independent Villa,2323,5,1,3.78,5,4.35,62,27500000.0
Civil Lines,Apartment/Flat,2133,3,6,0.51,8,8.76,82,30460000.0
Kalwar Road,Builder Floor,2246,1,12,2.69,4,5.15,93,8410000.0
Ajmer Road,Builder Floor,1676,3,11,8.35,3,3.84,35,10020000.0
C-Scheme,Independent Villa,3539,5,2,9.78,7,4.51,82,58210000.0
Civil Lines,Independent Villa,4635,5,9,11.54,7,8.7,83,60110000.0
Civil Lines,Residential Plot,2629,0,3,3.46,1,11.79,56,32090000.0
Jagatpura,Apartment/Flat,1982,3,16,9.73,5,3.55,73,10020000.0
Sitapura,Independent Villa,2651,3,7,9.94,9,4.75,61,11760000.0
Ajmer Road,Builder Floor,2438,2,16,1.18,7,7.69,72,14980000.0
Ajmer Road,Independent Villa,4753,5,18,7.33,8,4.54,84,26260000.0
Raja Park,Residential Plot,2030,0,15,7.58,1,10.42,59,20360000.0
Bapu Nagar,Penthouse,4482,4,14,4.83,8,5.95,37,54960000.0
Pratap Nagar,Independent Villa,4625,4,7,5.22,9,9.52,50,24590000.0
Jagatpura,Residential Plot,4113,0,8,6.45,1,6.91,61,21360000.0
Raja Park,Builder Floor,2449,3,0,9.85,4,5.05,98,28870000.0
Vaishali Nagar,Independent Villa,4697,5,1,2.51,7,5.8,86,43590000.0
Raja Park,Residential Plot,3671,0,3,6.73,2,8.66,58,39450000.0
Shyam Nagar,Builder Floor,1888,2,11,3.14,5,8.42,45,16920000.0
Kalwar Road,Residential Plot,3220,0,12,1.55,1,13.23,63,10560000.0
Kalwar Road,Builder Floor,1869,3,8,9.52,5,9.53,46,8150000.0
Jagatpura,Penthouse,4420,5,5,11.83,7,3.54,60,27370000.0
C-Scheme,Builder Floor,1284,1,11,2.57,5,8.19,80,20500000.0
Civil Lines,Residential Plot,3096,0,13,9.45,1,7.71,81,37720000.0
Civil Lines,Builder Floor,1906,3,19,11.25,3,6.05,67,22660000.0
Civil Lines,Builder Floor,1525,3,10,6.84,8,9.54,94,20620000.0
Bapu Nagar,Independent Villa,3026,3,16,10.27,6,5.54,98,38580000.0
Vaishali Nagar,Independent Villa,4546,5,12,10.77,6,8.58,72,38300000.0
Shyam Nagar,Apartment/Flat,1316,2,3,10.54,3,5.29,83,11010000.0
Bapu Nagar,Builder Floor,2211,2,0,10.21,8,7.38,99,27570000.0
Civil Lines,Independent Villa,3115,3,15,10.67,8,5.55,78,39870000.0
C-Scheme,Independent Villa,2065,5,19,6.72,6,4.84,90,35960000.0
Shyam Nagar,Penthouse,5728,4,11,9.82,7,6.79,64,50120000.0
Vaishali Nagar,Penthouse,5495,4,13,0.61,9,5.99,35,49460000.0
C-Scheme,Builder Floor,865,3,1,11.65,5,3.89,72,13650000.0
Civil Lines,Penthouse,3313,4,19,9.3,8,7.03,90,43240000.0
Shyam Nagar,Apartment/Flat,915,3,10,6.79,3,7.98,86,8450000.0
Sitapura,Builder Floor,1698,2,15,8.88,5,8.86,38,6030000.0
Shyam Nagar,Residential Plot,1273,0,12,2.18,2,9.29,36,10650000.0
Malviya Nagar,Residential Plot,1129,0,9,4.01,2,7.69,63,10120000.0
Malviya Nagar,Builder Floor,1457,3,15,9.53,3,9.61,59,14680000.0
Vaishali Nagar,Apartment/Flat,1936,3,8,10.59,7,4.6,66,18100000.0
Jagatpura,Penthouse,4497,4,16,0.58,10,6.42,42,28060000.0
Civil Lines,Penthouse,4887,4,14,1.31,7,5.94,53,67000000.0
Sitapura,Residential Plot,2517,0,12,5.71,1,7.32,64,7230000.0
Mansarovar,Penthouse,5982,4,10,7.24,7,5.67,37,49910000.0
Mansarovar,Apartment/Flat,1799,2,15,6.52,3,6.8,98,12680000.0
Jagatpura,Residential Plot,1711,0,18,0.97,2,8.63,52,8050000.0
Sitapura,Builder Floor,1220,3,2,1.17,4,6.11,56,6250000.0
Ajmer Road,Penthouse,4282,5,2,1.13,9,7.99,72,28480000.0
Raja Park,Independent Villa,4448,3,9,9.95,5,6.48,36,49270000.0
Shyam Nagar,Builder Floor,2301,3,15,4.13,3,7.19,75,20920000.0
Shyam Nagar,Independent Villa,3693,3,17,11.56,9,6.01,46,34340000.0
Raja Park,Apartment/Flat,1316,1,17,11.23,3,8.74,56,12120000.0
Pratap Nagar,Apartment/Flat,540,2,17,3.5,6,8.52,88,3220000.0
Jagatpura,Builder Floor,1743,2,14,0.36,7,6.58,55,10260000.0
Bapu Nagar,Residential Plot,3362,0,19,8.47,1,10.7,74,38740000.0
Sitapura,Apartment/Flat,1918,1,7,11.67,7,7.47,60,6890000.0
Jagatpura,Builder Floor,1238,3,4,1.99,4,6.27,62,9020000.0
Pratap Nagar,Residential Plot,3505,0,1,3.17,3,12.18,47,16810000.0
Sitapura,Penthouse,3902,4,17,10.16,7,4.74,76,14080000.0
Kalwar Road,Independent Villa,3284,3,17,3.87,5,5.51,77,14110000.0
Ajmer Road,Independent Villa,2673,5,13,9.0,6,4.3,74,16700000.0
Ajmer Road,Builder Floor,1945,1,0,4.96,5,3.64,64,12010000.0
Mansarovar,Builder Floor,2491,3,8,9.33,8,9.18,69,19280000.0
Pratap Nagar,Apartment/Flat,2464,2,17,5.3,7,4.62,41,12840000.0
Tonk Road,Builder Floor,1548,1,15,8.8,6,5.89,46,10690000.0
Kalwar Road,Penthouse,3306,4,7,1.04,10,8.6,49,16000000.0
Ajmer Road,Penthouse,3638,5,16,1.09,9,5.83,78,23190000.0
Mansarovar,Residential Plot,1006,0,15,8.06,1,6.83,56,4730000.0
Civil Lines,Penthouse,4366,4,2,7.7,8,4.98,63,55960000.0
Jagatpura,Penthouse,3867,4,5,2.05,8,8.23,95,23160000.0
Civil Lines,Independent Villa,3259,3,8,2.76,8,4.9,71,43700000.0
Malviya Nagar,Residential Plot,2808,0,2,5.8,3,11.9,54,28870000.0
Sitapura,Builder Floor,2178,2,12,4.87,6,5.39,47,8380000.0
C-Scheme,Apartment/Flat,2279,2,13,8.22,8,6.46,84,35160000.0
Ajmer Road,Builder Floor,2197,3,1,7.45,7,9.79,99,13640000.0
Bapu Nagar,Independent Villa,2905,4,17,8.51,7,5.58,61,38590000.0
Jagatpura,Penthouse,4027,5,0,7.27,7,6.58,83,24920000.0
Mansarovar,Independent Villa,2317,4,7,9.29,8,7.25,46,19410000.0
Tonk Road,Residential Plot,1414,0,0,10.95,1,7.05,36,8730000.0
Raja Park,Penthouse,5460,4,3,6.77,7,8.62,37,64740000.0
Bapu Nagar,Penthouse,5176,4,6,6.64,9,8.15,65,69840000.0
Mansarovar,Residential Plot,3122,0,9,6.39,1,12.61,42,22810000.0
Sitapura,Penthouse,3201,5,4,8.89,8,8.22,77,14410000.0
Jagatpura,Independent Villa,3735,4,0,1.98,7,5.12,43,23460000.0
Civil Lines,Apartment/Flat,1101,1,18,9.08,3,9.06,90,13630000.0
Pratap Nagar,Residential Plot,3150,0,19,5.13,3,9.11,81,13250000.0
Malviya Nagar,Independent Villa,3827,4,17,6.56,8,8.02,62,40250000.0
Civil Lines,Residential Plot,2146,0,14,1.41,1,13.0,68,26150000.0
Shyam Nagar,Residential Plot,2574,0,6,0.47,1,9.36,50,21420000.0
Bapu Nagar,Penthouse,5255,5,2,2.65,9,5.15,58,71660000.0
Mansarovar,Penthouse,3377,5,19,0.91,10,7.64,51,28450000.0
Sitapura,Independent Villa,3344,3,9,8.98,5,7.08,35,12470000.0
Vaishali Nagar,Residential Plot,3436,0,18,1.59,2,7.69,95,26160000.0
Ajmer Road,Independent Villa,4222,4,11,8.85,6,9.38,54,25920000.0
C-Scheme,Builder Floor,1568,1,1,5.71,6,7.57,97,26360000.0
Sitapura,Builder Floor,2142,1,18,8.37,8,9.59,99,7360000.0
Jagatpura,Independent Villa,3821,4,1,6.06,9,6.88,59,23380000.0
Ajmer Road,Builder Floor,2457,1,17,3.89,7,5.03,88,14590000.0
Pratap Nagar,Penthouse,3305,4,3,3.83,7,8.49,53,17570000.0
Shyam Nagar,Penthouse,3780,4,1,9.02,9,5.94,52,34710000.0
Civil Lines,Independent Villa,4921,3,8,4.54,8,7.86,67,67210000.0
Mansarovar,Independent Villa,2328,3,10,2.98,8,3.74,94,18070000.0
Ajmer Road,Builder Floor,1743,3,4,7.32,6,4.84,38,11450000.0
Shyam Nagar,Penthouse,4665,5,16,5.26,7,9.3,86,43490000.0
C-Scheme,Residential Plot,2404,0,18,3.88,1,12.17,76,34110000.0
Civil Lines,Builder Floor,547,3,0,11.73,5,8.05,61,7810000.0
Shyam Nagar,Independent Villa,1871,3,12,11.91,5,7.63,67,14970000.0
Malviya Nagar,Penthouse,4808,4,7,10.93,8,8.44,36,49270000.0
Ajmer Road,Residential Plot,4365,0,15,9.52,3,7.45,56,22570000.0
Jagatpura,Independent Villa,3576,5,13,2.99,7,7.86,76,22820000.0
Mansarovar,Residential Plot,2214,0,2,6.25,3,6.85,55,14860000.0
Kalwar Road,Residential Plot,3301,0,2,10.6,2,12.84,76,11010000.0
Mansarovar,Independent Villa,2350,5,3,5.48,6,6.52,85,21060000.0
Pratap Nagar,Penthouse,5301,4,16,7.62,7,5.42,93,26890000.0
C-Scheme,Residential Plot,2506,0,6,4.09,2,6.8,71,40710000.0
Shyam Nagar,Independent Villa,1901,4,3,3.87,5,9.46,67,18880000.0
Raja Park,Apartment/Flat,2438,1,6,11.82,4,7.88,54,26220000.0
Bapu Nagar,Independent Villa,3435,3,6,5.7,7,6.77,56,43560000.0
Civil Lines,Apartment/Flat,836,1,11,0.93,7,4.43,49,11760000.0
Jagatpura,Builder Floor,1852,3,4,0.58,6,9.56,92,12860000.0
Shyam Nagar,Residential Plot,3566,0,3,10.5,1,11.42,80,30300000.0
Malviya Nagar,Apartment/Flat,2380,1,3,11.4,3,8.52,70,22690000.0
C-Scheme,Builder Floor,1708,1,0,9.52,4,4.99,58,29720000.0
Sitapura,Apartment/Flat,1931,2,12,11.58,6,8.02,47,6600000.0
Tonk Road,Apartment/Flat,2402,2,18,11.5,4,4.36,77,16910000.0
C-Scheme,Independent Villa,4680,4,5,1.68,7,5.66,47,75250000.0
Shyam Nagar,Residential Plot,2818,0,19,10.53,2,10.8,68,20570000.0
Pratap Nagar,Residential Plot,3078,0,8,9.45,3,6.89,53,12390000.0
Malviya Nagar,Independent Villa,2795,4,3,1.92,5,9.5,96,32030000.0
Mansarovar,Apartment/Flat,851,3,16,1.8,6,9.56,57,6980000.0
Mansarovar,Independent Villa,2013,4,4,2.61,6,7.2,46,16490000.0
Jagatpura,Apartment/Flat,869,1,3,6.93,4,9.67,63,5310000.0
Ajmer Road,Independent Villa,3518,5,14,9.98,8,4.85,88,21650000.0
Pratap Nagar,Apartment/Flat,1862,1,16,0.46,6,5.68,90,10300000.0
Ajmer Road,Apartment/Flat,1350,1,15,0.12,6,7.05,54,8210000.0
Civil Lines,Penthouse,5106,5,14,3.74,9,8.72,85,76180000.0
C-Scheme,Apartment/Flat,1134,2,11,3.34,8,8.24,99,18920000.0
Ajmer Road,Apartment/Flat,1715,3,3,7.5,4,8.38,69,11210000.0
C-Scheme,Independent Villa,3893,3,3,5.82,9,9.43,51,69450000.0
Pratap Nagar,Independent Villa,4936,5,2,0.8,8,7.52,97,26030000.0
Pratap Nagar,Builder Floor,2325,3,11,2.56,3,4.21,62,12080000.0
Kalwar Road,Independent Villa,3954,4,15,3.83,7,4.04,49,17960000.0
Malviya Nagar,Penthouse,4365,5,19,4.61,7,7.15,36,40610000.0
Kalwar Road,Penthouse,5743,4,6,5.7,9,9.72,85,26000000.0
Ajmer Road,Residential Plot,2726,0,2,6.81,1,11.39,78,14550000.0
Raja Park,Residential Plot,2349,0,0,11.55,2,7.07,66,25080000.0
Sitapura,Penthouse,5708,5,4,10.04,8,3.56,53,25160000.0
Jagatpura,Independent Villa,4681,3,12,3.83,8,8.97,73,28620000.0
Civil Lines,Independent Villa,4100,4,12,11.82,6,4.85,48,55710000.0
Bapu Nagar,Apartment/Flat,1005,1,15,8.38,6,6.63,90,11740000.0
C-Scheme,Apartment/Flat,754,1,19,2.24,6,8.01,75,11600000.0
Kalwar Road,Independent Villa,2093,5,19,11.8,7,6.43,81,9010000.0
C-Scheme,Independent Villa,1999,4,7,10.18,8,8.7,49,31370000.0
Jagatpura,Penthouse,3941,4,11,2.83,8,4.16,58,23790000.0
Jagatpura,Independent Villa,4301,4,11,3.7,9,4.45,50,25210000.0
Bapu Nagar,Independent Villa,2455,4,17,8.67,9,7.81,83,31140000.0
Mansarovar,Apartment/Flat,2082,3,17,6.74,5,4.02,98,16800000.0
Raja Park,Independent Villa,2702,3,5,7.64,5,3.77,68,31210000.0
Shyam Nagar,Apartment/Flat,1064,2,1,0.55,8,5.86,35,12900000.0
Bapu Nagar,Apartment/Flat,937,1,3,0.44,5,9.38,65,12880000.0
Vaishali Nagar,Residential Plot,3819,0,14,10.4,2,13.08,46,30400000.0
Ajmer Road,Independent Villa,2575,3,15,7.04,5,4.14,94,14540000.0
Bapu Nagar,Independent Villa,4282,3,6,10.62,5,5.46,85,50540000.0
C-Scheme,Apartment/Flat,989,2,8,5.29,7,4.08,96,15810000.0
Kalwar Road,Independent Villa,3815,3,15,8.44,7,7.17,81,15520000.0
Jagatpura,Penthouse,3689,4,0,7.67,8,5.47,89,23890000.0
Vaishali Nagar,Builder Floor,2356,3,12,2.61,5,9.18,40,21000000.0
Sitapura,Builder Floor,702,1,19,11.21,3,9.2,83,1000000.0
C-Scheme,Builder Floor,895,2,3,5.35,7,6.32,57,15210000.0
Civil Lines,Residential Plot,1176,0,7,2.45,3,8.6,37,15000000.0
Pratap Nagar,Residential Plot,1094,0,4,2.66,1,7.37,42,4830000.0
C-Scheme,Builder Floor,1172,2,4,7.06,5,8.75,97,20810000.0
Bapu Nagar,Independent Villa,4924,4,17,5.72,8,5.96,73,58630000.0
C-Scheme,Apartment/Flat,1973,1,5,10.4,3,3.73,43,30660000.0
Civil Lines,Apartment/Flat,1044,3,6,2.12,3,7.28,44,15130000.0
Kalwar Road,Residential Plot,2335,0,17,5.56,1,6.89,55,7210000.0
C-Scheme,Penthouse,4767,5,14,1.05,9,6.92,35,81330000.0
Vaishali Nagar,Apartment/Flat,669,3,18,10.38,7,8.04,58,5440000.0
Sitapura,Penthouse,3714,4,4,7.1,8,7.58,38,15710000.0
Sitapura,Penthouse,5910,4,6,1.71,7,6.53,52,23080000.0
Kalwar Road,Independent Villa,2996,5,15,7.67,9,7.94,77,13870000.0
Tonk Road,Penthouse,3984,5,14,8.0,10,5.25,52,27870000.0
C-Scheme,Residential Plot,1941,0,14,6.72,3,11.8,61,26560000.0
Vaishali Nagar,Independent Villa,2160,5,17,1.32,9,7.82,36,19990000.0
Raja Park,Builder Floor,1354,2,10,5.67,4,3.87,91,16270000.0
Ajmer Road,Apartment/Flat,894,2,13,6.47,5,5.55,85,5230000.0
Shyam Nagar,Apartment/Flat,1863,2,16,0.68,8,6.54,51,16160000.0
Pratap Nagar,Independent Villa,2550,3,3,7.51,7,6.7,79,14180000.0
C-Scheme,Residential Plot,3989,0,18,5.96,1,10.52,73,54660000.0
Bapu Nagar,Builder Floor,1844,3,4,1.01,8,9.47,47,23890000.0
Mansarovar,Residential Plot,1174,0,18,2.86,1,6.95,46,7290000.0
Sitapura,Independent Villa,4487,3,4,3.99,9,3.81,57,17480000.0
C-Scheme,Apartment/Flat,1173,3,14,3.19,5,7.06,76,18340000.0
Tonk Road,Apartment/Flat,909,1,10,11.87,4,9.63,55,4960000.0
Vaishali Nagar,Apartment/Flat,602,3,10,2.64,8,7.17,49,7140000.0
Malviya Nagar,Penthouse,5763,5,14,3.41,7,9.2,66,56040000.0
Tonk Road,Penthouse,4354,5,5,9.74,7,6.63,59,31580000.0
Raja Park,Apartment/Flat,1708,2,8,6.98,7,3.6,94,19590000.0
Civil Lines,Penthouse,5513,5,6,10.07,10,5.93,88,76500000.0
Sitapura,Penthouse,3355,5,14,5.44,7,4.14,76,14350000.0
Tonk Road,Builder Floor,1592,1,7,10.66,7,6.73,92,10600000.0
Shyam Nagar,Penthouse,3150,4,19,8.2,8,6.13,94,29580000.0
Tonk Road,Builder Floor,1492,3,2,8.85,8,7.64,45,12480000.0
Malviya Nagar,Penthouse,4481,4,8,9.81,9,5.91,36,43870000.0
Malviya Nagar,Penthouse,4119,5,15,6.53,10,6.07,68,42440000.0
Tonk Road,Residential Plot,3708,0,3,9.37,1,14.07,99,24510000.0
Bapu Nagar,Penthouse,3190,5,14,7.85,10,6.16,36,41660000.0
Mansarovar,Apartment/Flat,911,3,1,10.02,7,8.46,52,8860000.0
Mansarovar,Independent Villa,1646,5,7,5.59,7,5.3,61,16000000.0
Bapu Nagar,Residential Plot,2922,0,8,8.56,1,10.68,88,32760000.0
Raja Park,Penthouse,3943,4,2,11.21,8,7.32,35,50580000.0
Malviya Nagar,Independent Villa,4657,5,1,7.4,6,4.9,66,49090000.0
Malviya Nagar,Builder Floor,1506,3,5,4.41,6,3.58,61,17830000.0
Kalwar Road,Penthouse,5190,4,16,5.82,8,3.64,92,22970000.0
Raja Park,Independent Villa,3031,4,3,3.9,9,8.6,75,39380000.0
Civil Lines,Builder Floor,1803,3,5,1.41,3,9.2,36,25050000.0
Raja Park,Residential Plot,960,0,3,11.03,1,10.25,38,9320000.0
Jagatpura,Apartment/Flat,1506,2,18,2.72,8,5.76,57,9240000.0
Ajmer Road,Independent Villa,3398,4,14,7.46,8,7.15,47,22760000.0
Civil Lines,Apartment/Flat,1388,3,14,4.19,8,8.02,69,20020000.0
Ajmer Road,Penthouse,4537,4,11,2.64,8,7.47,83,27240000.0
Pratap Nagar,Residential Plot,1620,0,1,11.4,3,7.03,45,7350000.0
Bapu Nagar,Builder Floor,894,3,9,7.05,8,5.97,95,11090000.0
Jagatpura,Apartment/Flat,2085,3,9,4.67,3,6.82,60,12750000.0
Pratap Nagar,Builder Floor,1774,3,12,11.03,6,6.87,49,8930000.0
Shyam Nagar,Builder Floor,645,3,14,1.47,7,6.72,59,6800000.0
Vaishali Nagar,Penthouse,5964,5,10,7.0,8,8.09,97,51180000.0
Jagatpura,Independent Villa,2358,5,17,4.46,6,8.1,77,14630000.0
Mansarovar,Penthouse,3208,4,0,5.17,7,7.57,93,26250000.0
Sitapura,Residential Plot,2604,0,13,1.25,3,8.9,67,8390000.0
Kalwar Road,Residential Plot,1771,0,8,11.07,3,14.47,37,5620000.0
Pratap Nagar,Builder Floor,1332,3,0,4.47,8,9.8,38,9400000.0
Raja Park,Apartment/Flat,2453,2,11,9.03,8,6.55,45,29090000.0
Raja Park,Penthouse,4509,5,3,10.74,7,7.36,56,48150000.0
Civil Lines,Apartment/Flat,2304,1,14,8.17,5,7.44,48,30170000.0
Raja Park,Independent Villa,4943,3,9,9.32,6,4.25,91,58000000.0
Jagatpura,Independent Villa,2348,3,14,2.38,7,7.43,78,15220000.0
Civil Lines,Independent Villa,1926,3,7,2.25,9,8.07,96,27680000.0
Kalwar Road,Residential Plot,2614,0,5,0.91,1,11.89,96,9280000.0
Raja Park,Penthouse,3820,4,11,9.54,8,7.92,98,42760000.0
Mansarovar,Penthouse,4058,5,0,9.32,9,5.31,39,33610000.0
Raja Park,Builder Floor,930,3,0,3.68,7,8.2,48,13210000.0
Pratap Nagar,Independent Villa,2188,3,0,5.52,7,3.51,62,12910000.0
Civil Lines,Apartment/Flat,1055,2,19,8.63,7,7.27,81,12730000.0
Civil Lines,Apartment/Flat,1792,2,19,7.58,4,4.69,44,22580000.0
Pratap Nagar,Builder Floor,2411,1,11,9.81,7,8.44,87,11490000.0
C-Scheme,Residential Plot,3335,0,5,3.48,2,9.55,56,54380000.0
Malviya Nagar,Apartment/Flat,1062,1,17,4.4,5,4.47,68,10510000.0
Sitapura,Apartment/Flat,762,2,9,7.59,3,4.22,98,2850000.0
Sitapura,Penthouse,5350,4,10,3.95,10,3.75,39,24750000.0
Tonk Road,Residential Plot,4246,0,2,10.83,3,10.55,92,28390000.0
Kalwar Road,Independent Villa,2187,4,19,7.13,6,7.69,53,8410000.0
Bapu Nagar,Builder Floor,1860,2,7,0.42,8,9.65,65,25460000.0
